Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           276.32       200.09        76.23   393.2
0.1000           280.88       201.49        79.39   409.5
0.2000           275.39       199.17        76.22   393.1
0.3000           277.32       199.99        77.33   398.8
0.4000           276.62       199.55        77.07   397.5
0.5000           274.53       199.55        74.97   386.7
0.6000           276.23       200.42        75.81   391.0
0.7000           272.44       195.99        76.46   394.3
0.8000           272.63       193.70        78.93   407.1
0.9000           276.48       198.14        78.35   404.1
1.0000           275.20       197.39        77.80   401.3
1.1000           271.91       195.88        76.03   392.1
1.2000           274.15       195.82        78.32   403.9
1.3000           272.88       193.87        79.02   407.5
1.4000           274.53       196.57        77.96   402.1
1.5000           274.52       198.47        76.05   392.2
1.6000           274.40       196.22        78.18   403.2
1.7000           273.56       193.91        79.64   410.8
1.8000           270.65       194.39        76.25   393.3
1.9000           271.50       194.54        76.95   396.9
2.0000           276.37       197.44        78.93   407.1
2.1000           276.30       196.51        79.79   411.5
2.2000           274.33       197.06        77.26   398.5
2.3000           273.73       197.68        76.05   392.3
2.4000           271.66       194.95        76.70   395.6
2.5000           275.09       196.63        78.47   404.7
2.6000           275.95       197.69        78.27   403.7
2.7000           275.06       198.47        76.59   395.0
2.8000           279.52       201.23        78.28   403.8
2.9000           277.22       198.13        79.09   407.9
3.0000           270.85       192.88        77.97   402.1
3.1000           270.61       193.33        77.28   398.6
3.2000           273.35       196.23        77.13   397.8
3.3000           276.98       198.66        78.32   403.9
3.4000           272.78       195.40        77.38   399.1
3.5000           268.25       191.56        76.70   395.6
3.6000           269.19       192.37        76.82   396.2
3.7000           274.32       196.50        77.82   401.4
3.8000           274.22       194.21        80.01   412.6
3.9000           270.68       193.44        77.24   398.4
4.0000           271.60       197.02        74.57   384.6
4.1000           266.58       192.28        74.30   383.2
4.2000           271.36       193.32        78.04   402.5
4.3000           274.00       195.97        78.03   402.5
4.4000           268.84       191.26        77.58   400.1
4.5000           269.73       191.69        78.04   402.5
4.6000           269.01       191.89        77.12   397.8
4.7000           269.20       193.10        76.10   392.5
4.8000           272.74       195.34        77.40   399.2
4.9000           272.67       194.82        77.86   401.6
5.0000           269.66       193.11        76.55   394.8
5.1000           270.51       193.58        76.93   396.8
5.2000           270.50       193.54        76.96   396.9
5.3000           274.55       193.75        80.80   416.8
5.4000           272.22       193.70        78.52   405.0
5.5000           268.97       192.29        76.68   395.5
5.6000           269.67       192.47        77.20   398.2
5.7000           267.78       189.24        78.54   405.1
5.8000           268.20       189.77        78.43   404.5
5.9000           266.67       189.83        76.84   396.3
6.0000           267.67       191.53        76.14   392.7
6.1000           266.84       189.82        77.02   397.2
6.2000           268.00       188.60        79.39   409.5
6.3000           264.77       188.25        76.52   394.6
6.4000           264.53       189.75        74.77   385.6
6.5000           266.93       189.76        77.17   398.0
6.6000           270.30       190.17        80.13   413.3
6.7000           270.70       191.19        79.52   410.1
6.8000           266.67       191.39        75.28   388.3
6.9000           267.44       190.53        76.91   396.7
7.0000           269.79       193.76        76.03   392.1
7.1000           267.44       190.46        76.97   397.0
7.2000           268.26       190.83        77.43   399.3
7.3000           265.18       188.01        77.18   398.0
7.4000           267.35       190.10        77.25   398.4
7.5000           265.70       189.15        76.56   394.8
7.6000           270.19       191.59        78.60   405.4
7.7000           270.81       192.80        78.02   402.4
7.8000           269.58       190.62        78.96   407.2
7.9000           268.56       191.20        77.36   399.0
8.0000           268.60       190.89        77.71   400.8
8.1000           268.67       190.57        78.10   402.8
8.2000           268.86       192.46        76.40   394.0
8.3000           269.39       193.22        76.17   392.9
8.4000           266.56       190.19        76.37   393.9
8.5000           270.65       193.07        77.58   400.1
8.6000           267.87       191.56        76.31   393.6
8.7000           266.62       190.33        76.29   393.5
8.8000           265.73       190.13        75.60   389.9
8.9000           268.12       190.39        77.74   400.9
9.0000           265.10       187.07        78.03   402.4
9.1000           267.29       188.42        78.87   406.8
9.2000           269.61       191.44        78.17   403.2
9.3000           267.62       192.82        74.80   385.8
9.4000           268.42       192.52        75.90   391.5
9.5000           268.79       188.38        80.41   414.7
9.6000           265.13       185.85        79.28   408.9
9.7000           268.63       190.99        77.64   400.4
9.8000           271.41       191.81        79.60   410.6
9.9000           266.69       190.20        76.50   394.5
10.0000          264.61       189.81        74.80   385.8
